"","chunk_vid_id","chunk_vid_duration","chunk_vid_dimention","chunk_vid_definition","chunk_vid_caption","chunk_vid_licensedContent","chunk_vid_projection"
"256","tranxI3uYT4","PT19M23S","2d","hd",FALSE,TRUE,"rectangular"
"257","_LaMGYVnwYc","PT7M","2d","hd",FALSE,TRUE,"rectangular"
"258","S-5IU_xdAIg","PT5H29M1S","2d","hd",FALSE,TRUE,"rectangular"
"259","9swYq83jffs","PT8M58S","2d","hd",FALSE,TRUE,"rectangular"
"260","n4DFdeoi234","PT31M44S","2d","hd",FALSE,TRUE,"rectangular"
"261","#NAME?","PT12M11S","2d","hd",FALSE,TRUE,"rectangular"
"262","aoERBs551uA","PT7M49S","2d","hd",FALSE,TRUE,"rectangular"
"263","tQqEeepdD2U","PT3M11S","2d","hd",FALSE,TRUE,"rectangular"
"264","7LgNSdeBIpE","PT3M6S","2d","hd",FALSE,FALSE,"rectangular"
"265","rW8mZrEklZQ","PT1H3M18S","2d","hd",TRUE,TRUE,"rectangular"
"266","oGeIaeZeG6Q","PT13M33S","2d","hd",FALSE,TRUE,"rectangular"
"267","KU-GcoWD5_A","PT10M17S","2d","hd",FALSE,TRUE,"rectangular"
"268","noel-0RkHt0","PT14M31S","2d","hd",FALSE,TRUE,"rectangular"
"269","yVW2fTkYFJo","PT4M52S","2d","hd",FALSE,TRUE,"rectangular"
"270","8x41Bobua44","PT12M57S","2d","hd",FALSE,TRUE,"rectangular"
"271","Nt6sVqhG8Oo","PT1H19M2S","2d","hd",FALSE,TRUE,"rectangular"
"272","c3CDsoRDdRA","PT2M54S","2d","hd",FALSE,TRUE,"rectangular"
"273","9kF9xY74h-E","PT6M54S","2d","hd",FALSE,TRUE,"rectangular"
"274","8-Cjsnq8kVU","PT2M10S","2d","hd",FALSE,TRUE,"rectangular"
"275","XQI1b6VVb6g","PT21S","2d","sd",FALSE,FALSE,"rectangular"
"276","sottGW1p5os","PT11M41S","2d","hd",TRUE,TRUE,"rectangular"
"277","hBbtI0BH9wU","PT6M59S","2d","hd",FALSE,TRUE,"rectangular"
"278","_HE4dvug1YU","PT3M15S","2d","hd",FALSE,TRUE,"rectangular"
"279","PMFZl9WQL-E","PT48M35S","2d","hd",FALSE,TRUE,"rectangular"
"280","cmoknv58jjE","PT14M15S","2d","hd",FALSE,TRUE,"rectangular"
"281","I1iSrCtZb7w","PT3M56S","2d","hd",TRUE,TRUE,"rectangular"
"282","n2K4II8N6r4","PT6M47S","2d","hd",TRUE,FALSE,"rectangular"
"283","8hKbIhrb1WU","PT5M55S","2d","hd",TRUE,TRUE,"rectangular"
"284","SfFKLEOOh2A","PT12M44S","2d","hd",FALSE,TRUE,"rectangular"
"285","bg3hJuBtE-8","PT52S","2d","hd",FALSE,TRUE,"rectangular"
"286","hpapqEeb36k","PT3M53S","2d","hd",TRUE,TRUE,"rectangular"
"287","Rh7bFsjFQ1k","PT25M58S","2d","hd",FALSE,TRUE,"rectangular"
"288","TWpt-ze_cYU","PT3M17S","2d","hd",FALSE,TRUE,"rectangular"
"289","Ehke7aPI9l0","PT5M4S","2d","hd",FALSE,TRUE,"rectangular"
"290","Gc_BnMrFhPc","PT1M31S","2d","hd",FALSE,TRUE,"rectangular"
"291","5LI5VMbJVOc","PT4M2S","2d","hd",FALSE,TRUE,"rectangular"
"292","jO5U167y9xU","PT4M1S","2d","hd",FALSE,TRUE,"rectangular"
"293","MbSlZKzizxQ","PT11M46S","2d","hd",FALSE,TRUE,"rectangular"
"294","b8IN0tY3fus","PT11M45S","2d","hd",TRUE,TRUE,"rectangular"
"295","lTshJ-2GVKM","PT51S","2d","hd",FALSE,TRUE,"rectangular"
"296","8WfHX9Q8S6w","PT22M46S","2d","hd",FALSE,TRUE,"rectangular"
"297","UdcOGSOnEDM","PT45M40S","2d","hd",FALSE,TRUE,"rectangular"
"298","xotnmcmktLw","PT55M30S","2d","hd",FALSE,FALSE,"rectangular"
"299","7xQ6WkiNCvk","PT22M6S","2d","hd",FALSE,TRUE,"rectangular"
"300","nFSMvRWLap8","PT34M32S","2d","hd",FALSE,TRUE,"rectangular"
"301","ZhCrQ5AEhpg","PT12M21S","2d","hd",FALSE,TRUE,"rectangular"
"302","zKueZxfJalA","PT2M30S","2d","hd",TRUE,TRUE,"rectangular"
"303","hMxSJ8RENqw","PT13M55S","2d","hd",TRUE,TRUE,"rectangular"
"304","YcvB3cEEdJ4","PT4M30S","2d","hd",FALSE,TRUE,"rectangular"
"305","_BVAJ3PXZ1k","PT6M27S","2d","hd",TRUE,TRUE,"rectangular"
